elevator,rooms,address,price,size
 con ascensore,6 ,"Appartamento in via lorenzo mascheroni, Ariosto-Magenta, Milano",5.166,275 
 con ascensore,6 ,"Appartamento in largo quinto alpini, s.n.c, Ariosto-Magenta, Milano",3.400,255 
 con ascensore,2 ,"Bilocale in via corsica, Argonne-Corsica, Milano",840,61 
 con ascensore,3 ,"Trilocale in via ariberto, 20, Navigli-Porta Genova, Milano",2.525,120 
 con ascensore,5 ,"Appartamento in corso magenta, 60, Ariosto-Magenta, Milano",4.085,200 
 con ascensore,7 ,"Appartamento in via locatelli, s.n.c, Centrale, Milano",4.100,365 
 con ascensore,2 ,"Bilocale in via vittorio veneto, 4, Vignate",600,60 
 con ascensore,4 ,"Quadrilocale in via monte rosa, s.n.c, Fiera, Milano",2.670,155 
 con ascensore,5 ,"Appartamento in guerrazzi, Sempione, Milano",2.590,180 
 con ascensore,5 ,"Appartamento in via borgonuovo, s.n.c, Brera-Montenapoleone, Milano",5.066,190 
 con ascensore,8 ,"Appartamento su due piani in via giuseppe frua, 4, San Vittore-Washington, Milano",3.500,260 
 con ascensore,3 ,"Trilocale in via pontaccio, 19, Brera-Montenapoleone, Milano",2.700,120 
 ,3 ,"Trilocale in via annunzio cervi, 4, Bovisasca, Milano",650,112 
 con ascensore,6 ,"Appartamento in via paolo marchiondi, s.n.c, Mercalli-Quadronno, Milano",4.600,250 
 con ascensore,,"Monolocale in via Roggia Scagna, 5, Brianza-Pasteur, Milano",600,35 
,2 ,"Bilocale in via adige, 5, Mesero",500,50 
,5 ,"Appartamento su due piani in via cascina bertacca, 2, Bubbiano",935,180 
 con ascensore,2 ,"Bilocale in via luigi de andreis, s.n.c, Argonne-Corsica, Milano",750,58 
 con ascensore,5 ,"Appartamento in via luigi settembrini, s.n.c, Centrale, Milano",1.600,200 
 con ascensore,2 ,"Bilocale in vallazze, 87, Teodosio-Porpora, Milano",690,56 
 con ascensore,2 ,"Bilocale in via giuseppe canella, s.n.c, Soderini, Milano",600,50 
 con ascensore,4 ,"Quadrilocale in via alessandro stradella, 1, Abruzzi, Milano",1.650,155 
,2 ,"Bilocale in via giovanni battista morgagni, 28, Abruzzi, Milano",900,75 
 con ascensore,2 ,"Bilocale in via bartolomeo giuliano, 2, Abruzzi, Milano",1.250,50 
 con ascensore,2 ,"Bilocale in via cernaia, s.n.c, Moscova-Repubblica, Milano",2.167,90 
,,"Monolocale in via carlo poma, s.n.c, Indipendenza-Regina Giovanna, Milano",500,45 
 con ascensore,3 ,"Trilocale in piazza castello, Duomo-Castello, Milano",1.700,115 
 con ascensore,2 ,"Bilocale in piazza adigrat, s.n.c, Argonne-Corsica, Milano",1.050,75 
 senza ascensore,3 ,"Trilocale in alzaia naviglio grande, 4, Navigli-Porta Genova, Milano",1.800,100 
