size,elevator,address,rooms,price
69 , senza ascensore,"Trilocale in via Matteotti Ang. via Segni, s.n.c, Motta Visconti",3 ,117.000
94 , senza ascensore,"Trilocale in via Matteotti Ang. via Segni, s.n.c, Motta Visconti",3 ,152.000
216 , con ascensore,"Attico in via Giannone, 8, Cenisio-Sarpi, Milano",4 ,1.800.000
90 , con ascensore,"Trilocale in via Marco Polo, 7, Corsico",3 ,235.000
120 , con ascensore,"Appartamento su due piani in via angelo rizzoli, 49, Udine, Milano",4 ,320.000
155 , con ascensore,"Appartamento in via petrella, 24, Centrale, Milano",5 ,545.000
110 ,,"Casa indipendente in via roboni, s.n.c, Vernate",4 ,150.000
300 , con ascensore,"Appartamento in piazzale francesco baracca, 1, San Vittore-Washington, Milano",10 ,2.000.000
42 ,,"Monolocale in via privata branda castiglioni, 2, Varesina-Testori, Milano",,99.000
53 , con ascensore,"Bilocale in via privata branda castiglioni, 2, Varesina-Testori, Milano",2 ,139.000
94 , con ascensore,"Quadrilocale in via privata branda castiglioni, 2, Varesina-Testori, Milano",4 ,279.000
82 , con ascensore,"Trilocale in via San Rocco, s.n.c, Segrate Centro, Segrate",3 ,246.000
240 ,,"Villetta bifamiliare in via don verderio, 10, Cassina de' Pecchi",6 ,370.000
130 , con ascensore,"Quadrilocale in via San Rocco, s.n.c, Segrate Centro, Segrate",4 ,392.000
173 , con ascensore,"Quadrilocale in via San Rocco, s.n.c, Segrate Centro, Segrate",4 ,610.000
71 , con ascensore,"Bilocale in via San Rocco, s.n.c, Segrate Centro, Segrate",2 ,212.000
128 , con ascensore,"Trilocale in via G. C. Procaccini, 25, Cenisio-Sarpi, Milano",3 ,685.000
115 , con ascensore,"Trilocale in via washington, 60, San Vittore-Washington, Milano",3 ,595.000
110 , con ascensore,"Attico in via giustiniano, 6, Indipendenza-Regina Giovanna, Milano",3 ,580.000
235 ,,"Appartamento in via caprilli, s.n.c, San Siro, Milano",6 ,1.395.000
65 , con ascensore,"Attico in corso Cristoforo Colombo, s.n.c, Navigli-Porta Genova, Milano",2 ,450.000
135 , con ascensore,"Appartamento su due piani in via bologna, Canegrate",5 ,260.000
127 , con ascensore,"Appartamento su due piani in via bologna, Canegrate",4 ,250.000
65 , con ascensore,"Bilocale in via cenisio, s.n.c, Sempione, Milano",2 ,249.000
95 , senza ascensore,"Quadrilocale in via monte nero, 7, San Vittore Olona",4 ,120.000
50 , con ascensore,"Bilocale in via ozieri, 7, Indipendenza-Regina Giovanna, Milano",2 ,220.000
168 , senza ascensore,"Quadrilocale in via grazia deledda, 10, Magnago",4 ,183.000
85 , con ascensore,"Trilocale in bottoni, Val di Sole-Fatima, Milano",3 ,275.000
75 , senza ascensore,"Trilocale in via privata vincenzo gianferrari, 11, Istria, Milano",3 ,185.000
140 ,,"Quadrilocale in via alessandria, Navigli-Porta Genova, Milano",4 ,425.000
166 , con ascensore,"Quadrilocale in venini, 24, Brianza-Pasteur, Milano",4 ,464.000
117 , con ascensore,"Trilocale in via Trento, 38, Area Lavanderie-Redecesio, Segrate",3 ,263.250
